strategy,max_features,fit_seconds,val_accuracy,val_macro_f1,val_weighted_f1,val_f1_negative,val_f1_neutral,val_f1_positive
none,1000,12.4,0.7790045863767624,0.7563165205881068,0.7743312335729746,0.6411238825031929,0.8252340615247437,0.8025916177363839
random_oversample,1000,14.4,0.7715304909121794,0.7508141100265459,0.7692451652365977,0.6337186129932244,0.8194633924511141,0.799260324635299
random_undersample,1000,11.0,0.7650755902836759,0.7493557578502331,0.7650858727449398,0.643931059772644,0.8213961922030825,0.782740021574973
none,500,10.3,0.7326312213351452,0.7057198906664119,0.726200254709034,0.5749235474006116,0.7836716874044969,0.7585644371941273
is_unbalance,500,9.3,0.7326312213351452,0.7057198906664119,0.726200254709034,0.5749235474006116,0.7836716874044969,0.7585644371941273
class_weight_balanced,500,9.1,0.7239680652284695,0.702354692028836,0.7215913882094868,0.5774647887323944,0.7805628847845206,0.7490364025695931
random_oversample,500,9.7,0.7192118226600985,0.697343426928152,0.716616263799713,0.5740445859872612,0.7712243074173369,0.7467613873798579
random_undersample,500,8.4,0.710718532359436,0.6932752852244825,0.7104588155795104,0.578136463683052,0.7719063545150502,0.7297830374753451
is_unbalance,250,8.1,0.6828605401732631,0.6440564810084494,0.6720305453571305,0.47107820453493754,0.7366203118415507,0.7244709266488597
none,250,7.9,0.6828605401732631,0.6440564810084494,0.6720305453571305,0.47107820453493754,0.7366203118415507,0.7244709266488597
class_weight_balanced,250,9.7,0.6699507389162561,0.6426963327060488,0.6675474493671596,0.48633879781420764,0.7315191772016284,0.7102310231023102
random_undersample,250,8.2,0.6636657040937659,0.6421551667026116,0.6641282052905177,0.5003641660597232,0.7293707816242108,0.6967305524239008
random_oversample,250,8.3,0.6653643621538984,0.6354743985803308,0.6621529871624204,0.47186495176848875,0.7204230006609386,0.7141352433115652
class_weight_balanced,100,6.5,0.5975879055546118,0.5683798755137326,0.5914822675977733,0.40985529917872504,0.6832272633956067,0.6120570639668661
random_undersample,100,5.7,0.5885850178359097,0.5645876253337759,0.5859140933591976,0.4136936936936937,0.6817705055590518,0.5982986767485823
random_oversample,100,6.7,0.5967385765245456,0.5629080213538681,0.5898761003645524,0.38577850429096855,0.677561282212445,0.6253842775581906
is_unbalance,100,7.3,0.6025140139289961,0.5501039895017968,0.5838036428639454,0.3339920948616601,0.6805555555555556,0.6357643180881747
none,100,6.9,0.6025140139289961,0.5501039895017968,0.5838036428639454,0.3339920948616601,0.6805555555555556,0.6357643180881747
